ചോദ്യം,ഉത്തരം
അമേരിക്കയില് ഏത് പാചക ഉപകരണം ഒരു കട്ടിലായി വിളിക്കുന്നു?,ഫ്രൈയിംഗ് പാൻ
പെര് സെയസിന്റെ അമ്മ ആരായിരുന്നു?,ഡാനെ
ഏഴാം വയസ്സിൽ ആദ്യമായി ചിത്രീകരിച്ച അന്ന മേരി മൌസെസ് ഏത് പേരിലാണ് കൂടുതൽ അറിയപ്പെടുന്നത്?,മുത്തശ്ശി മോസസ്
ഏത് ഡിസേര് റ്റിനെ തുസ്കൻ ട്രിഫില് എന്നും വിളിക്കുന്നു?,ടിറാമിസു
""" 1995 ലെ ഒന്നാം നമ്പർ ഹിറ്റ് ആരംഭിക്കുന്നത് """"ഞാൻ വിചാരിക്കുന്നു, ഇപ്പോൾ എനിക്ക് ഉപേക്ഷിക്കേണ്ട സമയമായിരിക്കുന്നു, എനിക്ക് തോന്നുന്നു, അത് സമയമായിരിക്കുന്നു. എന്റെ അരികിൽ നിന്നെ ഒരു ഫോട്ടോ ഉണ്ട്, നിന്റെ ചുണ്ടിന്റെ അടയാളം ഇപ്പോഴും നിന്റെ കോഫി കപ്പ്"" """,ബാക്ക് ഫോർ ഗുഡ്
ഒരു പ്രസ് ഥെനിം ആർക്ക് സാധാരണയായി എവിടെയാണ് കാണപ്പെടുന്നത്?,ഒരു തിയേറ്ററിൽ
ഏതു സിനിമാ ഫെസ്റ്റിവലിൽ ആണ് ഗോൾഡൻ ബേര് പുരസ്കാരം ലഭിക്കുന്നത്?,ബെർലിൻ
ഏതു പക്ഷിക്കും ഓരോ കാലിലും രണ്ടു വിരലുകൾ മാത്രമേയുള്ളൂ?,ഒട്ടകപ്പക്ഷി
"ആ രാജ്യത്തെ വലിയ അളവിലുള്ള നിക്ഷേപങ്ങൾ കണക്കിലെടുക്കുമ്പോൾ, ദക്ഷിണ അമേരിക്കയിലെ ഏതു രാജ്യത്തിന്റെ പേര് ലാറ്റിൻ ഭാഷയിൽ നിന്ന് വെള്ളി എന്നറിയപ്പെടുന്നു?",അർജൻ്റീന
എക്ബഥാന എന്ന പുരാതന നഗരം ഏത് രാജ്യത്തായിരുന്നു?,ഇറാൻ
ഏതു ദ്വീപില് നിങ്ങള് 'ഫിംഗല് ഗുഹ' കണ്ടെത്തും?,ബ്രാക്കറ്റ്
"1706 ൽ, മാർല് ബൊറോ ഡ്യൂക്ക് റാമിലീസ് യുദ്ധത്തില് ജയിച്ചു. ഏത് ആധുനിക രാജ്യത്താണ് ഇത്?",ബെൽജിയം
1990 ൽ ആൽബർട്ടോ ഫുജിമോറി തെക്കേ അമേരിക്കയിലെ ഏത് രാജ്യത്തിന്റെ പ്രസിഡന്റായി?,പെറു
ഏത് കാർഡാണ് സ്നോമാൻ എന്ന് അറിയപ്പെടുന്നത്?,എട്ട്
ആഥെനയുടെ റോമൻ തുല്യൻ ആരാണ്?,മിനർവ
മോര് ൻ പർവ്വതങ്ങള് ഏത് ജില്ലയിലാണ് സ്ഥിതി ചെയ്യുന്നത്?,ഡൗൺ
ആറ് ആറുകളിൽ ആലുംഗ് കാം ജോൺസ് എന്ന ഗാനത്തിൽ ഒരു ഹിറ്റ് നേടിയതാരാണ് ?,കോസ്റ്റേഴ്സ്
ഡ്വരാക്കിന്റെ ന്യൂ വേൾഡ് സിംഫണിയിലെ ലാർഗോയിൽ ഏത് സോളോ ഉപകരണമാണ് ഉൾപ്പെട്ടിരിക്കുന്നത്?,കോർ ആംഗ്ലേ
മിസിസിപ്പി കടലില് കടക്കുന്നു. അമേരിക്കയിലെ ഏത് സംസ്ഥാനത്താണ്?,ലൂസിയാന
റൊണാൾഡ് റീഗന് തൊട്ടുമുമ്പ് അമേരിക്കൻ പ്രസിഡന്റ് ആരായിരുന്നു?,ജിമ്മി കാർട്ടർ
1814 - 15 കാലഘട്ടത്തിൽ നടന്ന യൂറോപ്യൻ കോൺഗ്രസ് ഏത് നഗരത്തിലായിരുന്നു നടന്നത്?,വിയന്ന
കാനഡയുടെ തലസ്ഥാനം ഏതാണ്?,ഒട്ടാവ
1928 മെയ് 15ന് വിമാനത്തിൽ അവതരിപ്പിച്ച ചിത്രത്തിലെ ഏതു ഐക്കോണിക് കഥാപാത്രമാണ് വിമാനത്തിൽ അവതരിപ്പിച്ചത്?,മിക്കി മൗസ്
പബ്ലോ പിക്കാസോ ഏതു കലാപരമായ പ്രസ്ഥാനത്തിന്റെ സഹസ്ഥാപകരിൽ ഒരാളാണ്?,ക്യൂബിസം
ദെസ്പിനയും പ്രൊട്ട്യൂസും ഏത് ഗ്രഹത്തെ ചുറ്റും ചന്ദ്രനാണെന്നാണ്?,നെപ്ട്യൂൺ
ഏത് പോർട്ടബിൾ മീഡിയ പ്ലെയറിന്റെ പ്രധാന ഡിസൈനറായി ജോനാഥൻ ഐവി അറിയപ്പെടുന്നു?,ഐപോഡ്
"ഏതു ലാറ്റിൻ വാക്കാണ്, അതായത് വചനം ഓരോ വാക്കിനും എന്നർത്ഥം, ഒരു തികഞ്ഞ ട്രാൻസ്ക്രിപ്ഷൻ അല്ലെങ്കിൽ ഉദ്ധരണി എന്നർത്ഥം?",പദാനുപദം
അമേരിക്കൻ സിനിമാ നിർമാതാക്കളായ കോയിൻ സഹോദരന്മാരുടെ ആദ്യനാമങ്ങൾ എന്തൊക്കെയാണ്?,ഏഥനും ജോയലും
1859 നവംബർ 24 ന് സ്പീഷീസ് ഉത്ഭവത്തെക്കുറിച്ച് എന്ന പുസ്തകത്തിന്റെ ആദ്യ പതിപ്പ് പുറത്തിറങ്ങി. ആരുടെ എഴുത്താണ്?,ചാൾസ് ഡാർവിൻ
പൊതുവിദ്യാലയങ്ങളിലും ചില പഴയ രീതിയിലുള്ള ഗ്രാമീണ സ്കൂളുകളിലും prep എന്ന വാക്കിന്റെ അർത്ഥമെന്താണ്?,ഹോം വർക്ക്
300-377 കാലഘട്ടത്തിൽ ഭരിച്ച റോമൻ ചക്രവർത്തി ആരാണ് ആദ്യം ക്രിസ്തുമതത്തിലേക്ക് പരിവർത്തനം ചെയ്തത്?,കോൺസ്റ്റൻ്റൈൻ
1969 മെയ് 23 ന് ലോകത്തിലെ ആദ്യത്തെ റോക്ക് ഓപ്പറ പുറത്തിറങ്ങി. ഇംഗ്ലീഷ് റോക്ക് ബാൻഡ് ദി ഹുവ് ഏത് ആൽബം പുറത്തിറക്കി?,ടോമി
ഏത് ഭക്ഷണമാണ് പോപ്പയെ ശക്തനാക്കിയത്?,ചീര
മനുഷ്യശരീരത്തിലെ ഏതു ഭാഗത്താണ് മെറ്റാറ്റാർസ്സ് എല്ലുകൾ സ്ഥിതി ചെയ്യുന്നത്?,കാൽ
കൈകളോ കൈകളോ ഉപയോഗിക്കാതെ തന്നെ അത് പിടിച്ചെടുക്കാം .,നിങ്ങളുടെ ശ്വാസം
"ബെൻ ആൻഡ് ജെറി ഐസ് ക്രീമിന്റെ ആസ്ഥാനം ഏത് ന്യൂ ഇംഗ്ലണ്ട് സംസ്ഥാനത്താണ്; ഈപ്പിൾ സിറപ്പ്, ചീസ്, പാലു ഉത്പന്നങ്ങൾ എന്നിവയുമായി അറിയപ്പെടുന്നവ? ",വെർമോണ്ട്
"""ആര് സംവിധാനം ചെയ്തു """"ദി ഹോബിറ്റ്ഃ ദി ഡിസോളേഷൻ ഓഫ് സ്മൌഗ്"""" എന്ന സിനിമ?",പീറ്റർ ജാക്സൺ
മെഡിറ്ററേനിയൻ വംശജനും വൈലറ്റ് നിറമുള്ളതുമായ ഏതുതരം സമുദ്ര ജീവി ആണ് വെനസ് ഗിര് ഡ്ലെ?,ജെല്ലിഫിഷ്
"ക്രിസ്മസ് നുമ്ബരം മുമ്പുള്ള രാത്രി ""സെന്റ് നിക്കോളാസ് സന്ദർശനം 1822"" എന്ന കവിതയെഴുതിയത് ആര് ?",ക്ലെമൻ്റ് ക്ലാർക്ക് മൂർ
1942 ൽ മിസ്സിസ് മിനിവർ എന്ന കഥാപാത്രത്തിന് മികച്ച നടി എന്ന ഓസ്കാർ നേടിയപ്പോൾ അഞ്ചുമിനിറ്റും 30 സെക്കൻഡും കൊണ്ട് ഏറ്റവും നീണ്ട ഓസ്കാർ അംഗീകാര പ്രസംഗം നടത്തിയത് ആരാണ്?,ഗ്രീർ ഗാർസൺ
യുകെ ടെലിവിഷൻ ക്വിസ് ഷോയിൽ ദി ചെയ്സ് ഏത് ചെയ്സറാണ് ദി ബീസ്റ്റ് എന്ന് അറിയപ്പെടുന്നത്?,മാർക്ക് ലാബെറ്റ്
ഏത് ഗ്രഹത്തിന് ട്രൈറ്റണും നെറെയിഡും എന്ന് വിളിക്കുന്ന ചന്ദ്രനുകളുണ്ട്?,നെപ്ട്യൂൺ
1415 ലെ അഗിൻകോർട്ട് യുദ്ധം ഏത് രണ്ടു രാജ്യങ്ങൾ തമ്മിലായിരുന്നു?,ഇംഗ്ലണ്ടും ഫ്രാൻസും
യുറ്റയിലെ ഏതു റെയിൽവേ പാതയാണ് സുവർണ്ണ പൈക്കിലൂടെ പൂർത്തിയാക്കിയത്?,ട്രാൻസ്കോണ്ടിനെന്റൽ റെയിൽ‌റോഡ്
1927 ൽ ഓസ്ട്രേലിയയുടെ തലസ്ഥാനം കാൻബറയിൽ സ്ഥാപിതമായി. മുൻ തലസ്ഥാനം എവിടെയായിരുന്നു?,മെൽബൺ
ബൈബിളിലെ രണ്ടാമത്തെ പുസ്തകം ഏതാണ്?,പുറപ്പാട്
ഈസ്റ്റർ ദ്വീപ് (രാപ്പാനൂയി) ഏത് രാജ്യത്താണ്?,ചിലി
ദോവറിൽ നിന്നും ഇംഗ്ലീഷ് ചാനലിന് മുകളിലായി ഏതു നഗരമാണ് കാണാനാവുക?,കാലിസ്
1813 ൽ ലാപ്സിഗിൽ ജനിച്ചതും 1883 ൽ വെനിസ്സിയിൽ മരിച്ചതുമായ സംഗീതജ്ഞൻ ആരാണ്?,റിച്ചാർഡ് വാഗ്നർ
1985 മുതൽ 1998 വരെ നോയൽ എഡ്മോണ്ട്സ് അവതരിപ്പിച്ച ബി. ബി. സി. ഗെയിം ഷോ ഏത്?,ടെല്ലി അഡിക്ട്സ്
സാധാരണയായി ചൂടാക്കുന്നതിനും പ്രോസസ്സിംഗിനും ഒരു സിസെവൊ ഉപയോഗിക്കാറുണ്ടോ?,ടർക്കിഷ് കോഫി
1949 ൽ വാൻഡ്സ്വോർത്ത് ജയിലിൽ വധിക്കപ്പെട്ട ആസിഡ് ബാത്ത് മർഡറായിരുന്നു.,ജോൺ ഹൈഗ്
ചാൾസ് ഡോഡ്സൺ എന്ന യഥാർത്ഥ പേര് ഏത് എഴുത്തുകാരന് ഉണ്ടായിരുന്നു?,ലൂയിസ് കരോൾ
"ഒരു പത്രപ്രവർത്തന ശൈലിക്ക് എന്ത് പേര് നൽകുന്നു, അത് വിഷയപരമായി എഴുതുന്നു, പലപ്പോഴും റിപ്പോർട്ടർ ഒരു ആദ്യ വ്യക്തിഗത കഥയുടെ ഭാഗമായി ഉൾപ്പെടുന്നു? ",ഗോൺസോ
1919 ൽ വെര് സല് ഉടമ്പടി ഒപ്പുവെച്ച മുറിയില് പേര് നല് കുക.,കണ്ണാടി ഹാൾ
1635 ൽ ജനിച്ച വേല് സ് പൈററ്റ് 1675 ൽ ജമൈക്കയുടെ ലഫ്റ്റനന്റ് ഗവർണറായി നിയമിക്കപ്പെട്ടത് ഏത്?,ഹെൻറി മോർഗൻ
രണ്ടാം ലോക മഹായുദ്ധം ആരംഭിച്ചപ്പോൾ ബ്രിട്ടീഷ് പ്രധാനമന്ത്രി ആരായിരുന്നു?,നെവിൽ ചേംബർലൈൻ
രണ്ടാം ലോക മഹായുദ്ധത്തിന്റെ 70ാം വാർഷികം ചൊവ്വാഴ്ച ആഘോഷിച്ചു. ജർമ്മനി ഏത് രാജ്യത്തെ ആക്രമിച്ചു?,പോളണ്ട്
ടെന്നസി വില് യംസിന്റെ 115000 ലെ നാടകമായ 'എ സ്ട്രീറ്റ് ട്രാ വ് നെയിംഡ് ഡിസയർ'ൽ സ്റ്റെല്ല കോവാലസ്ക്കിന്റെ മൂത്ത സഹോദരി ആരാണ്?,ബ്ലാഞ്ചെ ഡുബോയിസ്
1999 മെയ് മാസത്തിൽ 'സ്വററ്റ് ഇറ്റ് വീണ്ടും' എന്ന ഗാനത്തിലൂടെ യുകെയിലെ ആദ്യ നമ്പർ 1 ഹിറ്റ് നേടിയത് ആര് ?,വെസ്റ്റ് ലൈഫ്
ഹാരി പോട്ടര് പുസ്തക പരമ്പരയില് ഹെർമൊയിൻ ഗ്രന് ഗേര് ന്റെ പൂച്ചയുടെ പേര് എന്താണ്?,ക്രൂക്ക്ഷാങ്കുകൾ
രീറ്റയെയും ഷർലി വാലന്റൈനെയും പഠിപ്പിക്കുന്ന നാടകങ്ങൾ ഏത് വില്ലി എഴുതി?,വില്ലി റസ്സൽ
""" 1995 ൽ ഹൂട്ടിയും ബ്ലോഫിഷും അവരുടെ ഗാനത്തിൽ ""എൻലി വാൻ ബീ വിത്ത്"" എന്ന പേരിൽ പ്ലഗിയറിസം ചെയ്തതിന് ആരാണ് കേസ് ഫയൽ ചെയ്തത്, കോടതി വിധിയിൽ നിന്ന് പുറത്തായ ഒരു തീർപ്പാക്കൽ?",ബോബ് ഡിലൻ
"""മോഴ്സ് കോഡിൽ ഏത് അക്ഷരം ""ഡാഷ് ഡാഷ് ഡാഷ്"" എന്ന് പ്രതിനിധീകരിക്കുന്നു?",ഒ
ഒരു അരിനോഫിൾ എന്തു ശേഖരിക്കും?,മണൽ
എഴുത്തുകാരനായ സി. എസ്. ലൂയിസിന്റെ ആദ്യനാമങ്ങൾ എന്തായിരുന്നു?,ക്ലൈവ് സ്റ്റേപ്പിൾസ്
ഊർജ്ജത്തിന്റെ ഐ. എസ്. യൂണിറ്റ് എന്താണ്?,ജൂൾ
മനുഷ്യ ശരീരത്തിൽ ഹലുക്സ് കൂടുതൽ സാധാരണയായി അറിയപ്പെടുന്നത് ഏത് പേരിലാണ്?,പെരുവിരൽ
ഏത് സിനിമയില് ഡോളി പാർട്ടന് അഭിനയിച്ചിരുന്നു ?,ഒമ്പത് മുതൽ അഞ്ച് വരെ
ബ്രിട്ടീഷ് രാജകുമാരിയില് 2005 ൽ വെല്സ് രാജകുമാരനെ വിവാഹം കഴിച്ചപ്പോള് കാമില്ലാ പര് ക്കര് ബൌല്സ് എന്ത് പദവി ഏറ്റെടുത്തു?,കോൺവാളിലെ ഡച്ചസ്
പുരാതന ഗ്രീക്ക് ശില്പം ഏത് കൈകളാണ് നഷ്ടപ്പെട്ടത്?,വീനസ് ഡി മിലോ
"ഏത് കുട്ടികളുടെ ടിവി ഷോയിൽ മദലെയിൻ എന്ന ഒരു തുണി നായിക, ഗബ്രിയേൽ എന്ന ഒരു തവള, എലികളുടെ ഒരു കൂട്ടം, പ്രൊഫസർ യഫ്ലെ എന്ന ഒരു മരംപുള്ളി എന്നിവ കാണപ്പെട്ടു? ",ബാഗ്പസ്
ഏത് സംസ്കാരത്തിലാണ് വമ്പം എന്ന പദം അലങ്കാര/നാണയ മുലക്കല്ലുകളെ സൂചിപ്പിക്കുന്നത്?,നേറ്റീവ് അമേരിക്കൻ ഇന്ത്യൻ
ഹബാക്കുക്ക് പദ്ധതി രണ്ടാം ലോകമഹായുദ്ധകാലത്ത് ബ്രിട്ടീഷുകാർ ഐസ് ഉപയോഗിച്ച് എന്ത് നിർമിച്ചു?,വിമാനവാഹിനിക്കപ്പലുകൾ
"രാഹത് ലോകും എന്ന മധുരപലഹാരത്തെ നമ്മൾ എന്താണ് വിളിക്കുന്നത്?
",ടർക്കിഷ് ഡിലൈറ്റ്
1984 മുതൽ 2000 വരെ ഏത് ബ്രിട്ടീഷ് സോപ്പിൽ 'തോമസ് സ്വീനി' എന്ന കഥാപാത്രം പ്രത്യക്ഷപ്പെട്ടു?,ബ്രൂക്ക്സൈഡ്'
ഏതൊരു ബ്രിട്ടീഷ് ഒളിമ്പിക് നീന്തുന്നയാളുടേതാണ് അവരുടെ പേരിലുള്ള ഒരു പബ്?,റെബേക്ക അഡ്ലിംഗ്ടൺ
3.5-6.5% മുള്ളസ അടങ്ങുന്ന പഞ്ചസാരയ്ക്ക് എന്ത് പേര്?,ബ്രൗൺ ഷുഗർ
സ്പർൺ ഹെഡ് (അല്ലെങ്കിൽ പോയിന്റ്) ഏത് മുഴുവിലൂടെയാണ് നീളുന്നത്?,ഹംബർ
സ്കോട്ടിഷ് പ്രീമിയർ ലീഗിലെ ഏത് ടീമാണ് ഫിര് പാർക്കിൽ വീട് കളിക്കുന്നത്?,മദർവെൽ എഫ്‌സി
പാരന്റ് ട്രാപ്പ്' എന്ന സിനിമയുടെ 1998 ലെ റീമേക്കിൽ ഇരട്ടകളുടെ വേഷങ്ങൾ ആര് വഹിച്ചു?,ലിൻഡ്സെ ലോഹൻ
2010 ഒക്ടോബര് / നവംബര് മാസത്തില് ജപ്പാനില് നടന്ന വോളിബോൾ വനിതാ ലോക ചാമ്പ്യൻഷിപ്പ് നേടിയ ടീം ഏതാണ്?,റഷ്യ
"കോംഗോ ഫ്രീ സ്റ്റേറ്റ്, ബെൽജിയൻ കോംഗോ, കോംഗോ-ലോപോൾഡ്വില് എന്നിവ ഉൾപ്പെടെ വിവിധ പേരുകൾ വിളിച്ചതിനുശേഷം, (ഇപ്പോൾ) കോംഗോ ജനാധിപത്യ റിപ്പബ്ലിക് എന്നറിയപ്പെട്ടത്? ",സയർ
"ഏത് അമേരിക്കൻ പോപ്പ് കലാകാരൻ ""100 കാംബ്ബെല്സ് സൂപ്പ് കാൻസ്"" സൃഷ്ടിച്ചു?",ആൻഡി വാർഹോൾ
"""രാജാവ് ഹെൻറി ഏഴാമന്റെ ഭരണകാലത്ത് ഇംഗ്ലീഷ് സിംഹാസനത്തിന് അവകാശപ്പെട്ടിരുന്ന ആരാള് റിയാച്ചർ ഓഫ് ഷ്രെസ്ബറി, യോർക്ക് ഡ്യൂക്ക് 1 ന്റെ ഇളയ മകനാണെന്ന് അവകാശപ്പെട്ടു, രാജാവ് എഡ്വേർഡ് IV ന്റെ ഇളയ മകനായിരുന്നു, """"ടവർ ലെ ചെറിയ പ്രഭുക്കന്മാരിൽ"""" ഒരാൾ, ഇതിഹാസം പറയുന്നു, റിച്ചാർഡ് III വധിച്ചു? ",പെർകിൻ വാർബെക്ക്
"2014 ൽ മൈക്ക് ലീയുടെ സിനിമയുടെ പേര് എന്താണ്, പ്രശസ്ത ബ്രിട്ടീഷ് ചിത്രകാരനായ ഒരു ബയോപിക്കിൽ തിമോട്ടി സ്പോൾ നായകനാകുന്ന ചിത്രം? ",മിസ്റ്റർ ടർണർ
"സ്റ്റുഅര് ട്ട് ബ്ലാന് , ഡൊണാൾഡ് കോഗ്ഗാന് , മൈക്കല് റാംസീ എന്നിവര് ഏത് ഓഫീസിൽ ജോലി ചെയ്തു?",യോർക്ക് ആർച്ച് ബിഷപ്പ്
അമേരിക്കയിലെ ഏതു സംസ്ഥാനത്താണ് 'എവർഗ്ലേഡ്സ്' കാണുക?,ഫ്ലോറിഡ
പുതിയ വോംബ്ലെസ് അംഗം ഏത് പേര് ചാനൽ ദ്വീപിനൊപ്പം പങ്കുവെക്കുന്നു ?,ആൽഡെർനി
യിസ്രായേൽ രാജ്യത്തിന്റെ ദേശീയ ചിഹ്നമായ പുരാതനകാലത്ത് യെരൂശലേമിലെ ദേവാലയത്തിൽ ഉപയോഗിച്ചിരുന്ന കാൻഡലബ്രം അടിസ്ഥാനമാക്കിയുള്ള ഏഴു ശാഖകളുള്ള വിളക്കുശാല എന്താണ്?,മെനോറ
സ്മിത്ത്ഫീല് ഡിലെ ലണ്ടന് മാർക്കറ്റ് എന് റെ കാര്യത്തില് വ്യാപാരം നടത്തുന്നു?,മാംസം
സ്പോൺജെ ബോബ് സ്ക്വയർ പാന്റ്സ് എന്ന കാർട്ടൂൺ കഥാപാത്രത്തിന്റെ പേരെന്താണ്?,ഗാരി
"മനുഷ്യ ശരീരത്തില്, പാൻക്രിയാസിലെ ലംഗേര് ഹാന്സ് ദ്വീപുകള് എന്തു ഉല് പാദിപ്പിക്കുന്നു?",ഇൻസുലിൻ
"ഒരു കൊട്ടാരത്തിൽ, ഒരു ഗാർഡനറി എന്തായിരുന്നു?",ടോയ്ലറ്റ്
മനുഷ്യന് അറിയാവുന്ന ഏറ്റവും കഠിനമായ ധാതുര് ഏതാണ് ?,ഡയമണ്ട്
1995 - ൽ തുറന്ന റോക്ക് ആൻഡ് റോൾ ഹാൾ ഏത് പ്രധാന അമേരിക്കൻ നഗരത്തിലാണ് സ്ഥിതി ചെയ്യുന്നത്?,"ക്ലീവ്‌ലാൻഡ്, ഒഹായോ"
ടോംഗയുടെ ദേശീയ പതാകയിലെ കുരിശിന്റെ നിറം എന്താണ്?,ചുവപ്പ്
"ഫ്രാൻസിലെ ഏത് വീഞ്ഞു ഉല് പാദന മേഖലയാണ് മെഡോക്, സെന്റ് എമിലിയൻ വീഞ്ഞു കൊണ്ട് പ്രശസ്തമായത്? ",ബാര്ഡോ
"രാഡാമെസ്' , 'പ്രിൻസസ് അംനെറിസ്' എന്നിവ ഏത് വെർഡി ഓപ്പറയിലാണ് കാണപ്പെടുന്നത്?",ഐഡ'
ശ്രവണശക്തി ഏതു സെൻസറിനെ സൂചിപ്പിക്കുന്നു?,കേൾവി
"ജാഗ്രത, നീതി, മര്യാദ, കരുത്ത് എന്നിവയാണ് നാലു കർദിനാലുകൾ.",ഗുണങ്ങൾ
"1989 ൽ ബാൻഡ് എയ്ഡ് II ക്രിസ്മസ് ചാർട്ടുകളിൽ ഒന്നാമതായി എത്തി, പക്ഷേ 88 ലും 90 ലും ആരാണ് ഒന്നാം സ്ഥാനത്ത്?",ക്ലിഫ് റിച്ചാർഡ്
"""ലോണ്ടൻ ജെന്റിൽമെൻ ക്ലബ് അംഗങ്ങൾ """"സാൽമൺ & കിച്ചംബർ"""" എന്നറിയപ്പെടുന്ന പിങ്ക് പച്ച ടൈ ധരിക്കുന്നുണ്ടോ?",ഗാരിക്ക് ക്ലബ്
ശരീരത്തിലെ ഏതു ഭാഗത്താണ് ഡെർമാറ്റിസ് ബാധിക്കുന്നത്?,തൊലി
ടോണി ഷലൂബ് അവതരിപ്പിച്ച ടെലിവിഷൻ ഡിറ്റക്ടീവിന്റെ പേര് എന്താണ്?,സന്യാസി
1757-ൽ ഏത് ഇംഗ്ലീഷ് കവി കവി പുരസ്കാര ജേതാവായി സ്ഥാനമൊഴിയാൻ വിസമ്മതിച്ചു?,തോമസ് ഗ്രേ
1993 സെപ്റ്റംബറിൽ യു. കെ. ഐ. പി. യെ സ്ഥാപിച്ചത് ചരിത്ര പ്രൊഫസർ ആര് ?,അലൻ സ്കാഡ്
ഷേക്സ്പിയറിന്റെ ഏത് കോമഡിയിലാണ് ഫെസ്റ്റേ ഒരു തമാശക്കാരൻ?,ട്വെൽത്ത് നൈറ്റ്
2004 ലെ ഓപ്പറയുടെ ഭോജനം എന്ന ചിത്രത്തിൽ ആര് നായകനായി അഭിനയിച്ചു?,ജെറാർഡ് ബട്ട്ലർ
അൽ പാക്കിനോയുടെ ആദ്യ സിനിമ എന്തായിരുന്നു?,മീ നതാലി
ഗ്രീക്ക് ഭാഷയിൽ 'അനുപാത' എന്നർത്ഥമുള്ള ഒരു സൂര്യാസമയത്തിന്റെ നിഴൽ ഇട്ട ഭാഗം ഏത്?,ഗ്നോമോൻ
e = mc*2 സമവാക്യത്തിൽ c എന്ത് പ്രതിനിധീകരിക്കുന്നു?,പ്രകാശവേഗത
ഷെര് ലക് ഹോംസ് എന്ന കഥാപാത്രത്തിന്റെ കൂട്ടുകാരന്റെ മുഴുവൻ പേരും എന്താണ്?,ഡോ ജോൺ എച്ച് വാട്സൺ
പുന്തോ വെക്കിയോയും പുന്തോ ന്യൂഫും എന്താണ്?,പാലങ്ങൾ
വെനിസ്വേലൻ പ്രസിഡന്റായി ഹ്യൂഗോ ചാവെസിനെ മാറ്റി ആര് ?,നിക്കോളാസ് മഡുറോ
ദക്ഷിണ അമേരിക്കയിലെ ഭൂഖണ്ഡത്തിലെ ഏറ്റവും പടിഞ്ഞാറൻ വശം ഏത് രാജ്യത്താണ്?,പെറു
"""ഏതൊരു ഗായകനും ഒരിക്കൽ സ്വയം പറഞ്ഞു, """"ഇത്ര വിലകുറഞ്ഞതായി കാണുന്നതിന് ധാരാളം പണം ആവശ്യമാണ്""""?",ഡോളി പാർട്ടൺ
"പന്നി ഏതുതരം ജീവിയാണോ?
",പന്നി
2004 ഒക്ടോബറിൽ സ്വീഡിഷ് മോഡലിനെ വിവാഹം കഴിച്ച പ്രശസ്ത വ്യക്തിത്വം?,ടൈഗർ വുഡ്സ്
മേരി ബേക്കർ എഡി ഏത് മതമാണ് സ്ഥാപിച്ചത്?,ക്രിസ്ത്യൻ സയൻസ്
"""ഏതൊരു ഇംഗ്ലീഷ് നാടകകൃതിയാണ് """"മാസ്റ്റർ"""" എന്ന് അറിയപ്പെട്ടത്?",നോവൽ കൗവാർഡ്
"ഒമ്പത് അക്ഷരങ്ങളുള്ള ഏതു വാക്ക്, അബോറിജിൻ ഭാഷയിൽ നിന്നും എടുത്തതാണ് ഓസ്ട്രേലിയക്കാർ ഒരു ഓക്സ്ബോ തടാകം അല്ലെങ്കിൽ സ്തംഭിച്ച കുളത്തിന് വേണ്ടി ഉപയോഗിക്കുന്നത്?",ബില്ലാബോംഗ്
പിന കോളഡ കോക്ടെയ്ലിന് ഏത് ആത്മാവിന് അടിവരയിടുന്നു ?,റം
""" ""കാസ്റ്റ് അവേ"" എന്ന സിനിമയിൽ ടോം ഹാൻക്സ് ഏത് കമ്പനിയിൽ ജോലി ചെയ്യുന്നു?",ഫെഡെക്സ്
ക്രിസ്മസ് ദിനം ചൊവ്വാഴ്ചയാണെങ്കിൽ പുതുവർഷദിനം ഏതു ദിവസമായിരിക്കും?,ചൊവ്വാഴ്ച
1990 നവംബറിൽ മേരി റോബിന് സിൻ ബ്രയന് ലെനിഹാനെ തോൽപ്പിച്ച് ഏത് രാജ്യത്തിന്റെ ആദ്യ വനിതാ പ്രസിഡന്റായി മാറി?,അയർലൻഡ്
. . ഒരു പഴയ പദം ഒരു ആഗ്രഹം എന്നതിനായാണോ?,മെറി
ലണ്ടന് SE1 ലെ ബാങ്ക്സൈഡില് ഏത് കലാ ഗാലറി സ്ഥിതിചെയ്യുന്നു?,റ്റേറ്റ് മോഡേൺ
സിഡ്നി ഒളിംപിക്സിൽ ഒളിംപിക് തീ കത്തിച്ചത് ആരാണ് ?,കാത്തി ഫ്രീമാൻ
1966 ലെ ഇംഗ്ലണ്ട് ഫുട്ബോൾ ലോകകപ്പ് ജേതാവിന്റെയും 2003 ലെ ഇംഗ്ലണ്ട് റഗ്ബി യൂണിയൻ ലോകകപ്പ് ജേതാവിന്റെയും കുടുംബനാമം എന്താണ്?,കോഹൻ
അസ്ട്രാഫോബിയ' എന്തിനെക്കുറിച്ചുള്ള ഭയം?,മിന്നൽ
1980 കളിലെ യുകെ ടെലിവിഷൻ പരമ്പര ബെർജെറാക് ഏത് ദ്വീപിലാണ് നടക്കുന്നത്?,ജേഴ്സി
ഏതു നഗരത്തിലാണ് ഇംഗ്ലീഷ് ലീഗിന്റെ ഏറ്റവും അടുത്തുള്ള രണ്ട് കളിസ്ഥലങ്ങൾ കാണുക?,നോട്ടിംഗ്ഹാം
ഏത് രാജ്യത്തിന്റെ തലസ്ഥാനമാണ് നിഎമെയ്?,നൈജർ
