question,answer
" ""What 6'4"""" drag queen gain notoriety?""
",RuPaul
" What is the slang term for a criminal who specialises in safe cracking
",Peterman
" In which long running TV Programme did Trudie Goodwin and Graham Cole appear?
",The bill
" What Indian people drove out the Toltecs and were conquered by Spain in the 16th century?
",Aztecs
" By what name is Margaretha Geertruida Macleod (nee Zelle) better known?
",Mata Hari
" ""What was reported as being from ancient Greece by authors Lynn and Gray Poole in their """"History of the Ancient Games"""", after they saw it carved on a stone when visiting Delphi In the 1950s?""
",The Olympic rings
" What is the name of the druid in the English version of the Asterix books?
",Getafix
" .za is the internet code for which country?
",South africa
" In London, trains cross Hungerford Bridge in to which station north of the River Thames?
",Charing cross
" Long before being canonized on 16 May, 1920, which historical figure, known as The Maid of Orleans, was burned at the stake in Rouen, France in 1431?
",Joan of Arc
" The characters Mad Margaret and Robin Oakapple appear in which Gilbert & Sullivan opera?
",Ruddigore
" Motu is a German liqueur made from vodka, lime juice and a very high proportion (66%) of which fruit?
",Strawberry
" What does a bad workman always blame?
",His tools
" In which state is Fort Sumter, the battle for which marked the start of the American Civil War in April 1861?
",South Carolina
" The Attan, a Pashtun ethnic dance, is the national dance of which country?
",Afghanistan
" What is the name of the soccer team in Los Angeles for which David Beckham plays?
",Galaxy
" What was Cameron Diaz's first major movie? (hint: her co-star was Jim Carrey)
",The Mask
" What is the title of the French National Anthem?
",The Marseillaise
" Moses, Muriel, Mollie, Benjamin, Mr Whymper, Squealer and Minimus are all characters that appear in which famous novel of 1945 ?
",Animal farm
" What country first legislated for plain packaging of tobacco products?
",Australia
" Adjutant birds are members of which family of birds?
",Storks
" What famous headwear and safety harness brand was devised from the original raw materials silk, angora and wool?
",Kangol
" In Italian cooking, what kind of food is spiced to make Pancetta?
",Pork
" In the the expression 'whet your appetite', the old word 'whet' technically means?
",Sharpen
" Who created the newspaper strip cartoon “The Perishers”?
",Maurice Dodd
" Ingvar Kamprad founded what famous modern-day organization?
",Ikea
" Kate Winslet won an Academy Award for Best Actress in which 2008 film?
",The reader
" What was won by Louisa Johnson in December 2015?
",The X Factor
" The melon flavoured liqueur 'Midori' originated in which country?
",Japan
" The Lancre Coven is the main group of witches in which series of novels?
",Discworld
" ""In what country did the movie """"The Last King of Scotland"""" take place?""
",Uganda
" Which Scottish athlete refused to run on a Sunday at the 1924 Paris Olympic Games?
",Eric Liddle
" What Russian lake is the world's deepest, and also its oldest?
",Lake Baikal
" What is the name for the measurement and description of navigable waters necessary for safe navigation of vessels?
",Hydrography
" In `Winnie the Pooh', who lived in the 'House at Pooh Corner'?
",Eeyore
" Which sea area is south-east of Faroes, west of Viking, north-east of Hebrides and north-west of Forties?
",Fair isle
" Which ground is the home of Premiership Rugby Union club, Exeter Chiefs?
",Sandy Park
" A pneumatic motor converts potential energy in the form of what into mechanical work?
",Compressed air
" What two-faced Roman god of beginnings and transitions is a name for a word which has two opposite meanings, and the derivation of the first month of the year?
",Janus
" Juliana was the queen of which European country between 1948 and 1980?
",Netherlands
" Which band's name was inspired by a novel by Herman Hesse?
",Steppenwolf
" The doner kebab originated in which country?
",Turkey
" What title is earned by a Moslem who learns the entire Koran?
",Hafiz
" What annual event, held on a Monday for children and their parents, that was started in 1814 by First Lady Dolley Madison in the grounds of the Capitol, Washington DC, USA, is now held on the White House lawn?
",The Easter Egg Roll
" Who did David Cameron succeed as leader of the Conservative Party
",Michael Howard
" ""The home of the drink called """"bourbon"""" is Bourbon County. What state of the USA is it in?""
",Kentucky
" Abuja is the capitalcity of which West African republic?
",Nigeria
" Which musical term means to gradually get louder?
",Crescendo
" President Obama is not the first sitting US president to win a peace prize. Who was the first president to win a Nobel Prize?
",Teddy Roosevelt
" What was the first name of Mr. Diesel, the inventor of the Diesel engine?
",Rudolf
" What was the the last animated film personally supervised by Walt Disney and released in October 1967?
",The Jungle Book
" A pipistrelle is a type of?
",Bat
" Which South American country will host the 2014 football World Cup ?
",Brazil
" What insignia are Generals in the US armed forces allowed to wear on their uniforms?
",Stars
" Which group did Steve Winwood leave to form Traffic?
",Spencer Davis Group
" Maslak is the commercial district of which European city?
",Istanbul
" ""Who, after making a living painting porcelain and sun blinds, became well known due to such paintings as """"Portrait of William Sisley"""" and """"Skaters in the Bois de Boulogne""""?""
",Renoir
" Who was Stan Laurels partner?
",Oliver Hardy
" Which country in Southeast Asia, and bordering Thailand, Indonesia, Singapore and Brunei, consists of 13 states and 3 Federal Territories which are separated by the South China Sea into two regions?
",Malaysia
" What is the NATO phonetic alphabet call sign for the letter M?
",Mike
" Which phobia is colloquially associated with the disease rabies?
",Hydrophobia
" In the movie Rain Man, what airline does Raymond insist on flying as it has a perfect safety record?
",Qantas
" In which U.S. State is Disney World located?
",Florida
" Which island is the birthplace of Cristiano Ronaldo?
",Madeira
" Which trio had their first No 1 album with 'Duke' in 1980?
",Genesis
" Which is the only English city to have two separate cathedrals built in the 20th century?
",Liverpool
" What is the name of the cheetah that serves as the spokesperson for Cheetos snacks?
",Chester
" What small Scottish border town is famously associated with marriages of English runaway couples?
",Gretna Green
" ""Which English king was known as """"Longshanks"""" or """"The Hammer of the Scots""""?""
",Edward I
" Widely promoted on Radio Luxembourg in the late '50s and early 1960s, what was the name of the system, devised by Horace Batchelor, which increased your chances. of winning large sums of money on the football pools?
",Infra-Draw
" A ploughman's lunch traditionally features what main foodstuff with bread?
",Cheese
" Tonitrophobia is the fear of which weather condition?
",Thunder
" Which English cricket broadcaster is known by the nickname ‘Aggers’?
",Jonathan Agnew
" Who was the only US President to serve two non-consecutive terms of office?
",Grover Cleveland
" Who is the leader of the Liberal Democrats?
",Tim farron
" Prohibition in the USA was enacted into law by the 'National Prohibition Act'. By what name was this popularly known?
",The volstead act
" Who is the hero of George Orwell's novel 1984 ?
",Winston smith
" On April 5th 2006, the discovery of which type of bird in Scotland having Avian Influenza sparked a major UK Bird Flu alert?
",Swan
" What was the second bridge to be built over the Thames in London in 1750?
",Westminster Bridge
" Which Labour MP has been Chair of the Home Affairs Select Committee since 2007?
",Keith Vaz
" At which theatre was Tommy Cooper appearing when he died on stage
",Her Majesty's
" What is the US equivalent of the SAS (Special Air Service)?
",Delta
" Grenouille is the Frenchfor which creature?
",Frog
" 'The Witch's Curse' is the subtitle of which Gilbert and Sullivan operetta?
",Ruddigore
" What was the Roman name for Scotland ?
",Caledonia
" Which company makes the iPod and the iPhone?
",Apple
" In which British city is Ninian Park railway station?
",Cardiff
" ""The symptoms for which poisoning include seizures, a """"sawhorse"""" stance, rigid extension of all four limbs and respiratory paralysis?""
",Strychnine
" Real name Alecia Moore, which colourful US diva sold out three London O2 dates in May 2009?
",Pink
" Which element has the chemical symbol B?
",Boron
" Who was Queen Victoria's husband?
",Prince Albert
" British comedians Katy, Joe and Russell all share which surname?
",Brand
" Name the author of the Jack Ryan series of books who died in 2013?
",Tom Clancy
" In which language was the Magna Carta originally written?
",Latin
" Which American footballer player was nicknamed ‘The Refrigerator’?
",William Perry
" What is Uma Thurman's middle name?
",Karuna
" Evelyn Glennie achieved musical fame as what type of musician?
",Percussionist
" A bergamot is known as what type of fruit?
",Orange
" What colour is a domesticated Pekin duck?
",White
" Which Rugby League player has appeared in a record 10 Super League Grand Finals?
",Jamie peacock
" What's missing: Denial, Anger, Depression, Acceptance
",Bargaining
" What was the christian name of Captain Mainwaring in Dad's Army
",George
" What volcano destroyed the city of Pompeii?
",Mount Vesuvius
" Who was Alexander the Great's tutor?
",Aristotle
" What is the name of the rock from which traitors were hurled to their death in Ancient Rome?
",Tarpeian
" In 1802 which President of the Royal Society produced a crude electric light?
",Davy
" The common basilisk is a lizard found in Central and South American rain-forests and is known for its ability to run on water. What is its appropriate nickname?
",Jesus Christ lizard
" What word follows either 'stone' or 'Chinese' in referring to deliberate obstruction?
",Wall
" The period between 1450 and 1600 in European development is known by what term, initially used by Italian scholars to express the rediscovery of ancient Roman and Greek culture?
",The Renaissance
" Pandeiro is a popular example of what in Brazil?
",Percussion
" Which cartoon character was introduced on July 27, 1940 in the short ""A Wild Hare""?
",Bugs Bunny
" A character in the sitcom Friends, or a provisioner of candles and soaps?
",Chandler
" What does Mac in front of a surname mean
",Son of
" In which American city do the 'Celtics' play professional Basketball?
",Boston
" Who wrote the children’s story ‘James and the Giant Peach’?
",Roald Dahl
" Which blood group is known as the 'universal donor', because it can be given to all blood groups?
",Group o
" Which crop is processed in a `ginnery'?
",Cotton
" Which is the most heavily populated city in Brazil?
",Sao paulo
" Name the straits which separate Italy and Sicily?
",Messina
" Chartreuse liqueur can be found in two colours. Yellow is one what is the other?
",Green
" In which city was opera singer Maria Callas born in 1923?
",New York
" What name is given to the sound hole on a violin?
",F-Hole
" How did Tollund Man die?
",Strangulation
" In which fictitious village is the TV series Heartbeat set
",Aidensfield
" In which town would you find the English entrance to the 'Channel Tunnel (Eurotunnel)?
",Folkestone
" According to the legend, in which city did the Pied Piper lure all the children away?
",Hamelin
" Hussars is a word applied to what type of troops?
",Cavalry
" Which Scottish region shares its name with a musical instrument
",Fife
" Which South American country has land borders with Colombia and Peru?
",Ecuador
" What nationality is tennis legend Roger Federer?
",Swiss
" Who, when asked at US customs if he had anything to declare, replied 'only my genius'?
",Oscar Wilde
" Which reality TV show was won by MC Harvey, Azra Akin and Terri Dwyer in 2003, and by Jarrod Batchelor, Shane Lynch and Lady Isabella Hervey in 2004?
",The Games
" Film actress Harlean Carpentier was better known by what stage name?
",Jean harlow
" The Elgin Marbles, currently in the British Museum, came from which building?
",Parthenon
" Which club resigned from the Football League in 1962 to be replaced by Oxford United? A new club was formed with the same name and won promotion to the League in 2006. One of the two clubs they replaced was Oxford United.
",Accrington stanley
" What valley is the site of the Earth's highest-ever recorded temperature, 134°F?
",Death Valley
" In 1066, on which hill did Harold deploy his troops for the Battle of Hastings?
",Senlac
" Which web application on Yahoo! that translates text between different languages is named after a fictional animal used for a similar purpose in The Hitchhiker's Guide to the Galaxy?
",Babel Fish
" Who played the title character in the 1937 comedy film Oh, Mr Porter!?
",Will Hay
" Venice stands on what river?
",The Arno
" What prefix word joins with hearted, house, ship and year to produce four other words?
",Light
" By what title do we know Gerald Grosvenor
",Duke of Westminster
" What nickname has been given to Indian bowler Harbhajan Singh?
",The Turbanator
" Who was Anne Sullivan's most famous pupil?
",Helen Keller
" A major share-trading mistake, sometimes worth of $millions, is commonly called a '(What?) Error'?
",Fat Finger
" ""Who, in 1935, said, """"The Pope! How many divisions has he""""?""
",Joseph stalin
" The state in some insects between the larva and the imago is known as what?
",Pupa
" A sevruga is what type of creature?
",Fish
" The UK's Inns of Court is made up of how many legal societies?
",Four
" What is Mexico's largest state, and also a famously small dog breed?
",Chihuahua
" ""Who, a drummer at the time, made the first known jazz recording using the vibraphone (""""Memories of You"""") with Louis Armstrong & His Sebastian New Cotton Club Orchestra in 1930 and then concentrated on the vibraphone, joining the Benny Goodman Quintet, and later leading his own big bands?""
",Lionel Hampton
" Which 2003 Sofia Coppola film is set in the Park Hyatt Hotel, Tokyo?
",Lost in Translation
" In which Shakespeare play does Sir Lancelot Gobbo appear?
",Merchant of Venice
" ""Who directed the films, """"Bugsy Malone"""" (1976) and Midnight Express (1978)?""
",Alan parker
" What country is the world's top oil exporter?
",Saudi Arabia
" In cricket what name is given to a left handed googly
",Chinaman
" Bump, Hook, Neck Shot and Wraps are all terms used in which sport?
",Polo
" Of which organisation was John Longworth Director General when he was suspended for suggesting Britain would be better off outside the EU (he later resigned in March 2016)?
",British Chambers of Commerce
" When used in the manufacture of jewellery, which metal is usually alloyed with Platinum?
",Iridium
" ""What team was """"guaranteed"""" to win Super Bowl III?""
",New York Jets
" Angel, Itatinga, Cuquenan, Ormeli, and Tysse are all what?
",Waterfalls
" Which type of rock is formed by heat or pressure?
",Metamorphic
" Pedology is the science of what?
",Soils
" Who wrote the 1970 novel ‘Love Story?
",Erich Segal
" Which ex-leader secured a book deal with Random House in March 2009 provisionally titled Decision Points?
",George W Bush
" The 'Mojave Desert' Is located in which US state?
",California
" In which organ of the body can the Islets of Langerhans be found?
",Pancreas
" ""Who wrote """"To Kill a Mockingbird""""?""
",Harper Lee
" What was the pen name of the short story writer H H Munro?
",Saki
" What is the reciprocal of one-and-two-thirds (in other words, what fraction when multiplied by one-and-two-thirds produces one)?
",Three-fifths
" In which US town or city is the United States Air Force Academy located?
",Colorado Springs
" What was the name of the skunk in Disney’s version of Bambi?
",Flower
" A-Ha sang the title song for which Bond film?
",The Living Daylights
" Which gas has the chemical formula CH4?
",Methane
" In which European city is the Charles Bridge?
",Prague
" Which book of the Old Testament includes the Ten Commandments?
",Deuteronomy
" In which competitive activity did the WBF strip its 2013 Bali World Championship from two German doctors for coded coughing?
",Bridge
" ""Who wrote the poem, """"In Memoriam"""", which contains the lines, """"It is better to have loved and lost, than never to have loved at all""""?""
",Alfred lord tennyson
" What can be a language, a horn, and side spin?
",English
" The aquatics discipline at most Olympics and related events usually features diving, swimming, synchronized swimming and what other sport?
",Water polo
" In which board game is the ‘huffing’ rule sometimes adopted?
",Draughts
" By population what is the second city of Canada?
",Montreal
" Who composed the violin concerto 'The Four Seasons'?
",Antonio Vivaldi
" Which Canadian city was called Bytown until 1854?
",Ottawa
" Which author set his novels in 'The Five Towns'?
",Arnold Bennett
" What was the original purpose of a signet ring
",Seal
" Early in November 2010, the Pope made a speech in which he relaxed the church's rules on what?
",Contraceptives
" Who played the dole of 'George Armstrong Custer' in the 1941 film 'They Died With Their Boots On'?
",Errol flynn
" What country would you get to first if you went due West from the port of Bari, Italy?
",Albania
" What is the popular name of Tchaikovsky's Symphony no.6 in B minor?
",Pathetique
" Palermo is the capital of which island?
",Sicily
" In which European country is Lake Bolsena?
",Italy
" The popular name for a type of inflamed elbow joint is associated with which sport?
",Tennis
" Ackee and saltfish is widely considered as the national dish of which island?
",Jamaica
" Disc jockey John Ravenscroft was better known by what name?
",John Peel
" Joe Shlabotnik is which fictional character's favourite (and also fictional) baseball player?
",Charlie Brown
" Which British author wrote the 1928 novel ‘Orlando: A Biography’?
",Virginia Woolf
" Tuesday marked the 48th birthday of what noted former Mariner, who has been an All-Star, a Gold Glove award winner, and a member of the Mariners Hall of Fame, and is nicknamed Bone?
",Jay Buhner
" What was the character name of TV's 'The Saint'?
",Simon templar
" Which Conservative MP resigned as Government Chief Whip after the 'Plebgate' scandal ?
",Andrew mitchell
" In which state do most Cree Indians live in the USA?
",Montana
" Which group had three consecutive UK Christmas number ones in 1996, 97 and 98?
",Spice Girls
" The Berkshire, Australian Yorkshire, Danish Landrace, Mulefoot, Wessex Saddleback and West French White are breeds of what?
",Pig
" ""T.V. Sitcoms - What was the name of the lead character, the time traveller, played by Nicholas Lyndhurst in """"Goodnight Sweetheart"""" ?""
",Gary sparrow
" ""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?""
",Michael Palin
" What is the name of the castle in Mervyn Peake's series of fantasy novels that has now come to mean any sprawling complex?
",Gormenghast
" According to the gospel of Luke, Zachariah and his barren wife Elizabeth were the parents of which great Biblical character?
",John the Baptist
" How many strings does a mandolin commonly have?
",Eight
" In music what note is a tone above B?
",C#
" Born in 1585, who was known as the red eminence?
",Cardinal Richelieu
" Which cartoonist produces the ‘If’ series in the Guardian?
",Steve Bell
" ""In which Australian state is the location of the TV show, """"I'm a celebrity, get me out of here""""?""
",Queensland
" In which sport was Richard Upton found positive in a drugs test in 1998?
",Swimming
" Greenland is a self-governing territory of which country?
",Denmark
" Holland Lop, Flemish Giant and New Zealand White are breeds of which animal?
",Rabbit
" ""In the 2003 film """"What A Girl Wants"""", Amanda Bynes played the illegitimate daughter of a British politician played by whom?""
",Colin Firth
" In which opera does the character Scarpia appear?
",Tosca
" Which former Yugoslav state will become the 28th member of the European Union on July 1st this year ?
",Croatia
" Which word can be used for a birthmark, a piece of drilling machinery and a secret agent?
",Mole
" In March 2006 Jack Dorsey created and was one of the co-founders of which social networking website?
",Twitter
" Former footballer Vinnie Jones captained which national team?
",Wales
" What was Geri Halliwell's alter-ego as part of the Spice Girls?
",Ginger Spice
" The Vouvray district of the French Loire Valley is famous for its white?
",Wine
" What name is given to areas of land in Holland that have been reclaimed from the sea?
",Polders
" ""What genre did Howard L. Chace, a professor of French, use when he wrote """"Ladle Rat Rotten Hut"""", the story of Little Red Riding Hood written using English words (but never the correct ones) to demonstrate that the intonation of spoken English is almost as important to the meaning as the words themselves?""
",Homophonic transformation
" In the book of Kings in the Old Testament what is the name of the priest who anoints Solomon with oil?
",Zadok
" What South Dakota drug store is advertised on road signs for hundreds of miles in either direction?
",Wall Drug
" I which country will you find the 'Great Victoria Desert'?
",Australia
" What is the capital of Uzbekistan
",Tashkent
" What was the name of the knife thrower played by James Coburn in The Magnificent Seven (one word)
",Britt
" What name is given to the networking device that controls the flow of data packets between computers, peripherals and other networks?
",Router
" Also found in Spinach and similar plants, which organic acid is the primary acid found in Rhubarb leaves?
",Oxalic acid
" Which of one these does not feature in lists of the most common UK pub names in recent times?
",Princess Diana
" What jewelry firm is perhaps best remembered for the exquisite jeweled eggs that were popular Easter time gifts at the turn of the 20th century?
",House of Faberge
" Which US President is depicted on a $2 bank note?
",Thomas Jefferson
" Which rock group was founded in Seattle in 1994 by David Grohl after the break-up of Nirvana?
",Foo Fighters
" Lauris Nobilis is the Latin name of what common herb?
",Bay
" Everlast, Winning, and Grant are famous equipment brands for?
",Boxing
" The episodes of which TV series ended with the family saying goodnight to each other?
",The Waltons
" In a series of films based on the books by Donald Hamilton, who played the character Matt Helm?
",Dean Martin
" What is scotland's deepest loch?
",Loch morar
" What is the name of the American student who was convicted of the murder of Meredith Kercher, along with her Italian boyfriend and released in 2011 after an appeal?
",Amanda knox
" In 1936, what colour tab was attached to the right rear pocket of Levi jeans, so they could be identified at a distance?
",Red
" Most of Mesopotamia is in what modern-day country?
",Iraq
" The English city of Peterborough stands on which river?
",River Nene
" In 2004, who left the band Westlife?
",Brian McFadden
" What popular condiment in which egg yolk is the chief emulsifier originates from it being called as the 'sauce of Mahon'?
",Mayonnaise
" Name the film infamous for a controversial scene where a knickerless Sharon Stone crosses her legs?
",Basic instinct
" Who was the spouse of Queen Margrethe II of Denmark when she ascended to the throne on 14 January 1972?
",Prince Henrik
" What did Basutoland change its name to in 1966?
",Lesotho
" What was the name of the operation that resulted from the Jimmy Saville Sex Scandal?
",Yewtree
" In World War 2 what was the name of the American mass-produced prefabricated cargo ships?
",Liberty Ships
" Diego De Vega is a fictional character better known as whom
",Zorro
" What is the world's most popular beverage other than water?
",Tea
" When ultra-marathoner Dean Karnazes ran across the entire United States in 2011, a blog headlined it by comparing him to what movie character?
",Forrest Gump
" Arlanda airport serves which European capital city?
",Stockholm
" In physics, what is defined as mass per unit volume?
",Density
" Of what will Keith Bristow become the first head in 2013?
",National crime agency
" Midland Bank became part of which larger Bank in the 1990's?
",Hsbc
" Eric Arthur Blair was the real name of which famous novelist?
",George orwell
" On which national radio station does John Suchet broadcast each weekday morning?
",Classic fm
" Which spirit forms the basis of a Tom Collins cocktail ?
",Gin
" After which Austrian physicist is the ratio of the velocity of a body in a medium to the velocity of sound in that medium named?
",Ernst mach
" Which enormously influential classical composer spent much of his career as a court musician for the wealthy Hungarian aristocratic Esterházy family?
",Joseph Haydn
" Which cooking utensil is called a skillet in America?
",Frying Pan
" Who was the mother of Perseus? She was seduced by Zeus in the form of a shower of gold.
",Danae
" Producing her first painting while in her seventies, Anna Mary Moses is better known by what name?
",Grandma Moses
" Which dessert is also known as ‘Tuscan Trifle’?
",Tiramisu
" ""Which number 1 hit from 1995 begins """"I guess now it's time for me to give up, I feel it's time. Got a picture of you beside me, got your lipstick mark still on your coffee cup""""""
",Back for Good
" Where is a proscenium arch usually found?
",In a theatre
" At which film festival is the Golden Bear awarded?
",Berlin
" Which bird has only two toes on each foot?
",Ostrich
" Given the large number of deposits located within, the name of what South American country is based on the Latin for silver?
",Argentina
" In which country was the ancient city of Ecbatana?
",Iran
" On which island will you find 'Fingal's Cave'?
",Staffa
" In 1706, the Duke of Marlborough won the Battle of Ramillies. In which modem country is it?
",Belgium
" Alberto Fujimori became the President of which South American country in 1990?
",Peru
" Which playing card is known as the Snowman?
",Eight
" Who was the Roman counterpart of Athene?
",Minerva
" In which county are the Mountains of Mourne?
",Down
" Who had a hit in the sixties with Along Came Jones
",The Coasters
" Which solo instrument features in the Largo from Dvorak's New World Symphony?
",Cor anglais
" The Mississippi enters the sea in which state of the USA?
",Louisiana
" Who was US president immediately before Ronald Reagan?
",Jimmy carter
" In which city was the congress held in 1814-15, which agreed the settlement of Europe after the Napoleonic Wars?
",Vienna
" What is the capital of Canada?
",Ottawa
" May 15, 1928 saw what iconic film character introduced in the animated cartoon Plane Crazy?
",Mickey Mouse
" Pablo Picasso is one of the co-founders of what artistic movement?
",Cubism
" Despina and Proteus are moons orbiting which planet of the solar system?
",Neptune
" Jonathan lve is noted as the principal designer of which portable media player?
",The iPod
" What Latin word, which means “word for word” is taken to mean a perfect transcription or quotation?
",Verbatim
" What are the first names of US film makers Coen brothers?
",Ethan and Joel
" Nov 24, 1859 saw the first edition of On The Origin of Species, under the authorship of who?
",Charles Darwin
" In public schools and some old-fashioned grammar schools, what is understood by ‘prep’?
",Homework
" Which Roman Emperor who ruled from 300-377 AD was the first to be converted to Christianity?
",Constantine
" May 23, 1969 saw the release of the world's first rock opera, when the English rock band The Who released what album?
",Tommy
" What food made Popeye strong?
",Spinach
" In which part of the human body are the metatarsus bones?
",Foot
" You can hold it without using your arms or hands what is it
",Your breath
" In which New England State are the HQ of Ben and Jerry's ice cream; also well known for maple syrup and cheese and dairy products?
",Vermont
" ""Who directed the film """"The Hobbit: The Desolation of Smaug""""?""
",Peter Jackson
" Native to the Mediterranean and violet in colour, what sort of marine creature is a 'Venus's Girdle'?
",Jellyfish
" Who wrote the poem Twas the night before Christmas also called ""A Visit from St. Nicholas in 1822?
",Clement Clarke Moore
" Who made the longest Oscar acceptance speech, at five minutes and 30 seconds, when collecting her Oscar for Best Actress in 1942 for her role as Mrs. Miniver?
",Greer Garson
" In the UK television quiz show ‘The Chase’ which chaser is is known as ‘The Beast’?
",Mark Labbett
" Which planet has moons called Triton and Nereid?
",Neptune
" The Battle of Agincourt in 1415 was fought between which two countries?
",England and France
" What railroad was completed by a golden spike in Utah?
",Transcontinental Railroad
" In 1927 the capital of Australia was established in Canberra. Where had it the previous capital been?
",Melbourne
" What is the second book of the bible?
",Exodus
" Easter Island (Rapa Nui) belongs to which country?
",Chile
" What city can be found across the English channel from Dover?
",Calais
" Which composer was born in Leipzig in 1813 and died in Venice in 1883?
",Richard wagner
" Which BBC game show presented by Noel Edmonds ran from 1985 until 1998?
",Telly addicts
" A cezve is typically used for heating/processing?
",Turkish coffee
" The so-called ‘Acid Bath Murdere;d was executed in 1949 in Wandsworth Prison. What was nis name
",John Haigh
" Which author had the real name Charles Dodgson?
",Lewis Carroll
" What name is given to a style of journalism that is written subjectively, often including the reporter as part of the story via a first-person narrative?
",Gonzo
" Give the name of the room where the Treaty of Versailles was signed in 1919.
",Hall of mirrors
" Which Welsh pirate, born in 1635, was appointed Lieutenant-Governor of Jamaica in 1675?
",Henry morgan
" Who was British Prime Minister when World War II broke out?
",Neville Chamberlain
" Tuesday saw the 70th anniversary of the start of WWII when Germany invaded what country?
",Poland
" Who is the elder sister of Stella Kowalski in Tennessee Williams' 1947 play A Streetcar Named Desire?
",Blanche dubois
" Who had their first UK number one hit in May 1999 with Swear It Again?
",Westlife
" In the Harry Potter series of books, what is the name of Hermoine Granger’s cat?
",Crookshanks
" Which Willy wrote the plays Educating Rita and Shirley Valentine?
",Willy Russell
" ""Who sued Hootie and the Blowfish for plagiarism in their song """"Only Wanna Be With You"""" in 1995, reaching an out-of-court settlement?""
",Bob Dylan
" ""In Morse code, what letter is represented by """"dash dash dash""""?""
",O
" What does an arenophile collect?
",Sand
" What were the first names of writer C.S.Lewis?
",Clive Staples
" What is the SI unit of energy?
",Joule
" In the human body, the hallux is more commonly known by what name?
",Big toe
" In which film did Dolly Parton make her starring debut
",Nine to Five
" In British royalty, what title did Camilla Parker Bowles take on marrying the Prince of Wales in 2005?
",The Duchess of Cornwall
" What ancient Greek sculpture has famously lost her arms?
",Venus de Milo
" Which children's TV show featured a rag doll called Madeleine, a toad called Gabriel, a group of mice and a woodpecker called Professor Yaffle?
",Bagpuss
" Wampum refers to decorative/monetary shell-beads in which culture?
",Native American Indian
" Project Habakkuk was a plan by the British in World War II to construct what from ice?
",Aircraft carriers
" What do we call the sweetmeat Rahat Lokum?
",Turkish Delight
" The character 'Thomas Sweeney' appeared in which British soap from 1984 to 2000?
",brookside'
" Which British Olympic swimmer has a pub named after them in the town of Mansfield?
",Rebecca Adlington
" What is the name for sugar containing between 3.5% and 6.5% molasses?
",Brown Sugar
" Spurn Head (or Point) stretches across which estuary?
",Humber
" Which Scottish Premier League team play their home games at Fir Park?
",Motherwell FC
" Who played the parts of the twins in the 1998 remake of the film 'The Parent Trap'?
",Lindsay lohan
" Which team won the Fdration Internationale de Volleyball Women's World Championship in Japan, that was held in October / November 2010?
",Russia
" After being called various names including the Congo Free State, Belgian Congo and Congo-Lopoldville, what was the (now) Democratic Republic of the Congo known as?
",Zaire
" Which US pop artist created ?100 Campbells Soup Cans??
",Andy Warhol
" ""Which pretender to the English throne during the reign of King Henry VII claimed to be Richard of Shrewsbury, 1st Duke of York, the younger son of King Edward IV, one of the """"little princes in the Tower"""" who, legend has it, was executed by Richard III?""
",Perkin Warbeck
" What is the title of Mike Leigh's 2014 film, featuring Timothy Spall in the title role in a biopic of a celebrated British painter?
",Mr Turner
" Which office has been held by Stuart Blanch, Donald Coggan and Michael Ramsey?
",Archbishop of york
" In which US state will you find 'The Everglades'?
",Florida
" Which member of the new Wombles shares his name with a Channel Island
",Alderney
" What is the seven-branched candlestick, based on the candelabrum that was used in the Temple in Jerusalem in ancient times, that is the national symbol of the State of Israel?
",Menorah
" The London market at Smithfield deals in what?
",Meat
" What is name of cartoon character SpongeBob SquarePants pet snail?
",Gary
" In the human body, what is produced by the islets of langerhans in the pancreas?
",Insulin
" In a castle, what was a garderobe?
",Toilet
" What is the hardest mineral known to man
",Diamond
" Opening in 1995, the Rock and Roll hall of fame is located in what major U.S. city?
","Cleveland, Ohio"
" What colour is the cross on the national flag of Tonga?
",Red
" Which wine producing region of France is famous for its Medoc and St Emilion wines?
",Bordeaux
" 'Radames' and 'Princess Amneris' are characters that appear in which Verdi opera?
",aida'
" Auditory refers to which of the senses?
",Hearing
" Prudence, Justice, Temperance and Fortitude are the Four Cardinal ‘what’?
",Virtues
" Band Aid II topped the Xmas charts in 1989, but who had the top spot in ’88 and ’90?
",Cliff richard
" ""Members of which London gentleman's club wear a pink and green tie known as the """"Salmon & Cucumber""""?""
",Garrick Club
" What part of the body is affected by dermatitis?
",Skin
" What is the name of the TV detective played by Tony Shaloub?
",Monk
" Which English poet declined the post of Poet Laureate in 1757?
",Thomas Gray
" Which history professor founded UKIP in September 1993?
",Alan Sked
" Feste is a jester in which of Shakespeare's comedies?
",Twelfth night
" Who played the title role in the 2004 film The Phantom of the Opera?
",Gerard butler
" What was Al Pacino's first movie?
",Me Natalie
" Meaning 'indicator' in Greek, what is the part of a sundial that casts the shadow called?
",Gnomon
" What does c represent in the equation e = mc*2?
",Speed of light
" What's the full name of Sherlock Holmes' companion/narrator?
",Dr John H Watson
" What are Ponte Vecchio and Pont Neuf?
",Bridges
" Who has taken over from the late Hugo Chavez as Venezuelan President?
",Nicolas maduro
" in which country is the most westerly point of mainland South America?
",Peru
" ""Which singer once said of herself, """"It takes a lot of money to look as cheap as this""""?""
",Dolly parton
